Species,Location,Latitude,Longitude,Observation Date
Varied Thrush,Discovery Park,47.663868,-122.4215317,2024-12-21 08:27:00
Hermit Thrush,Discovery Park,47.663868,-122.4215317,2024-12-21 08:27:00
Anna's Hummingbird,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Red-tailed Hawk,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Northern Flicker,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Merlin,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Bushtit,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Ruby-crowned Kinglet,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Golden-crowned Kinglet,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Red-breasted Nuthatch,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Bewick's Wren,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
American Robin,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Pine Siskin,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Fox Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Dark-eyed Junco,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Golden-crowned Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Song Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Spotted Towhee,Discovery Park,47.663868,-122.4215317,2024-12-21 07:52:00
Surf Scoter,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Common Goldeneye,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Short-billed Gull,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
American Herring Gull,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Western Grebe,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Pelagic Cormorant,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Double-crested Cormorant,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Bald Eagle,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Black-capped Chickadee,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Chestnut-backed Chickadee,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Cedar Waxwing,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Savannah Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Lincoln's Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Yellow-rumped Warbler,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Townsend's Warbler,Discovery Park,47.663868,-122.4215317,2024-12-20 12:56:00
Cooper's Hawk,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Barred Owl,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Red-breasted Sapsucker,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Downy Woodpecker,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Hairy Woodpecker,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Steller's Jay,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
California Scrub-Jay,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
American Crow,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Common Raven,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Brown Creeper,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Pacific Wren,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
House Finch,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Purple Finch,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
American Goldfinch,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Red-winged Blackbird,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
Orange-crowned Warbler,Discovery Park,47.663868,-122.4215317,2024-12-20 11:27:00
American Wigeon,Discovery Park,47.663868,-122.4215317,2024-12-18 14:23:00
Mallard,Discovery Park,47.663868,-122.4215317,2024-12-18 14:23:00
Bufflehead,Discovery Park,47.663868,-122.4215317,2024-12-18 14:23:00
Horned Grebe,Discovery Park,47.663868,-122.4215317,2024-12-18 14:23:00
Canada Goose,Discovery Park,47.663868,-122.4215317,2024-12-15 13:58:00
Northern Shoveler,Discovery Park,47.663868,-122.4215317,2024-12-15 13:58:00
Gadwall,Discovery Park,47.663868,-122.4215317,2024-12-15 13:58:00
Wilson's Warbler,Discovery Park,47.663868,-122.4215317,2024-12-15 13:58:00
Red-breasted Merganser,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Rhinoceros Auklet,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
California Gull,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Glaucous-winged Gull,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Pacific Loon,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Common Loon,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Great Blue Heron,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Pileated Woodpecker,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
European Starling,Discovery Park,47.663868,-122.4215317,2024-12-15 13:22:00
Common Merganser,Discovery Park,47.663868,-122.4215317,2024-12-15 11:05:00
Ancient Murrelet,Discovery Park,47.663868,-122.4215317,2024-12-15 11:05:00
Red-necked Grebe,Discovery Park,47.663868,-122.4215317,2024-12-15 11:05:00
Red-throated Loon,Discovery Park,47.663868,-122.4215317,2024-12-15 10:35:00
Brandt's Cormorant,Discovery Park,47.663868,-122.4215317,2024-12-15 10:35:00
Sharp-shinned Hawk,Discovery Park,47.663868,-122.4215317,2024-12-15 08:04:00
Northern Pintail,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Lesser Scaup,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
White-winged Scoter,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Rock Pigeon,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Common Murre,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Western x Glaucous-winged Gull (hybrid),Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Iceland Gull,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
White-crowned Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
White-throated Sparrow,Discovery Park,47.663868,-122.4215317,2024-12-15 07:28:00
Great Horned Owl,Discovery Park,47.663868,-122.4215317,2024-12-15 07:12:00
Wilson's Snipe,Discovery Park,47.663868,-122.4215317,2024-12-15 07:00:00
Hooded Merganser,Discovery Park,47.663868,-122.4215317,2024-12-08 14:59:00
Pigeon Guillemot,Discovery Park,47.663868,-122.4215317,2024-12-08 14:59:00
Regulus satrapa,"Discovery Park, Seattle, WA, US",47.6628350847,-122.4139017873,2024-12-15
Strix varia,"Discovery Park, Seattle, WA, US",47.6657338721,-122.4169826553,2024-12-15
Sphyrapicus,"Lawton Park, Seattle, WA, US",47.6655466667,-122.4128583333,2024-12-17
Certhia americana,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-15
Thryomanes bewickii,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-15
Troglodytes pacificus,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-11-15
Astur cooperii,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-19
Haemorhous mexicanus,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-19
Turdus migratorius,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-19
